date,symbol,category,rank,value
2026-06-06,AKJCL,turnover,1,"556,906,427.30"
2026-06-06,CITY,turnover,2,"195,999,747.90"
2026-06-06,NBBD2085,turnover,3,"188,620,553.00"
2026-06-06,CFCL,turnover,4,"185,026,283.90"
2026-06-06,RIDI,turnover,5,"151,680,315.10"
2026-06-06,RSML,turnover,6,"150,858,231.70"
2026-06-06,BFC,turnover,7,"135,004,045.30"
2026-06-06,EBLD86,turnover,8,"126,159,499.00"
2026-06-06,RLFL,turnover,9,"99,679,714.30"
2026-06-06,MFIL,turnover,10,"96,054,740.20"
2026-06-06,KHPL,gainer,1,15
2026-06-06,ULBSL,gainer,2,9.71
2026-06-06,LBLD88,gainer,3,7.7
2026-06-06,BFC,gainer,4,7.55
2026-06-06,CITY,gainer,5,7.06
2026-06-06,RLFL,gainer,6,6.25
2026-06-06,NBBD2085,gainer,7,6.19
2026-06-06,NCCD86,gainer,8,4.72
2026-06-06,PFL,gainer,9,4.28
2026-06-06,CSY,gainer,10,3.3
2026-06-06,SBLD84,loser,1,-4.92
2026-06-06,HFIN,loser,2,-4.22
2026-06-06,MABEL,loser,3,-4.17
2026-06-06,RLEL,loser,4,-3.83
2026-06-06,RBCLPO,loser,5,-3.72
2026-06-06,NIMBPO,loser,6,-3.51
2026-06-06,SKHEL,loser,7,-2.99
2026-06-06,NBF2,loser,8,-2.99
2026-06-06,SAIL,loser,9,-2.85
2026-06-06,SDBD87,loser,10,-2.82
2026-06-06,AKJCL,turnover,1,"556,906,427.30"
2026-06-06,CITY,turnover,2,"195,999,747.90"
2026-06-06,NBBD2085,turnover,3,"188,620,553.00"
2026-06-06,CFCL,turnover,4,"185,026,283.90"
2026-06-06,RIDI,turnover,5,"151,680,315.10"
2026-06-06,RSML,turnover,6,"150,858,231.70"
2026-06-06,BFC,turnover,7,"135,004,045.30"
2026-06-06,EBLD86,turnover,8,"126,159,499.00"
2026-06-06,RLFL,turnover,9,"99,679,714.30"
2026-06-06,MFIL,turnover,10,"96,054,740.20"
2026-06-06,KHPL,gainer,1,15
2026-06-06,ULBSL,gainer,2,9.71
2026-06-06,LBLD88,gainer,3,7.7
2026-06-06,BFC,gainer,4,7.55
2026-06-06,CITY,gainer,5,7.06
2026-06-06,RLFL,gainer,6,6.25
2026-06-06,NBBD2085,gainer,7,6.19
2026-06-06,NCCD86,gainer,8,4.72
2026-06-06,PFL,gainer,9,4.28
2026-06-06,CSY,gainer,10,3.3
2026-06-06,SBLD84,loser,1,-4.92
2026-06-06,HFIN,loser,2,-4.22
2026-06-06,MABEL,loser,3,-4.17
2026-06-06,RLEL,loser,4,-3.83
2026-06-06,RBCLPO,loser,5,-3.72
2026-06-06,NIMBPO,loser,6,-3.51
2026-06-06,SKHEL,loser,7,-2.99
2026-06-06,NBF2,loser,8,-2.99
2026-06-06,SAIL,loser,9,-2.85
2026-06-06,SDBD87,loser,10,-2.82
2026-06-08,CFCL,turnover,1,"204,629,097.20"
2026-06-08,LBLD88,turnover,2,"171,720,000.00"
2026-06-08,AKJCL,turnover,3,"138,057,776.20"
2026-06-08,CITY,turnover,4,"117,832,443.10"
2026-06-08,RSML,turnover,5,"103,834,643.30"
2026-06-08,NHPC,turnover,6,"90,595,647.90"
2026-06-08,BFC,turnover,7,"87,847,144.50"
2026-06-08,RIDI,turnover,8,"83,193,432.50"
